Rank,City,country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Zurich, Switzerland,195.3,122.9,81.7,74.1,120.8,11.2,32.7,17.8,81.5
2,Zagreb, Croatia,156.6,56.5,77.6,63.5,51,14.2,32,33.5,82.2
3,Yekaterinburg, Russia,96.7,59,53.6,51.1,42,9.2,37.8,73.5,21.3
4,Wroclaw, Poland,135,60.3,73.7,56.7,41.1,12.5,34.5,61.3,78.4
5,Warsaw, Poland,134.6,62.6,73.9,59.8,44,14.4,35.2,59.6,74.6
6,Vilnius, Lithuania,164.3,59.5,72.4,74,51.6,13.4,27.3,22.8,66.6
7,Vienna, Austria,199.6,112.9,73.1,79.2,61.8,11.5,24.5,16.7,81.8
8,Varna, Bulgaria,136.7,50.6,63.3,62.2,40.1,9.2,29.3,60.9,85.1
9,Valencia, Spain,168.8,71.3,68.2,79.8,51.4,8.1,28.8,44,93.8
10,Turin, Italy,132.7,68.1,47.9,67,61.2,8.2,28.1,68.2,85.7
11,Tirana, Albania,90.4,30.1,57.7,48,41,17.5,38.5,86.5,86.4
12,Timisoara, Romania,152.7,56.4,75.6,71.9,36.7,10.9,23.5,56.2,82
13,Thessaloniki, Greece,116.7,40.9,46.5,55,55.8,11.7,29,63.9,88.4
14,The Hague (Den Haag), Netherlands,217.1,129.9,78.8,80,62.7,5.9,22.9,19.2,90.6
15,Tallinn, Estonia,166.9,60.5,75.3,72.5,59.6,12.3,26.5,20.9,64.3
16,Stuttgart, Germany,173.3,121.7,68.6,71.1,64.1,11.1,34.1,46,81.1
17,Stockholm, Sweden,163.4,94.6,53.9,66.6,70.8,14.3,35.2,18.5,69.7
18,Split, Croatia,166.5,57,67.7,68.7,45.6,15.7,16.1,32.2,96.3
19,Sofia, Bulgaria,124.4,57.9,58.1,57.4,46.2,10.3,30.4,68.9,76
20,Skopje, North Macedonia,100.1,36.7,53.1,54.8,36.8,15.3,28.1,83.1,76.3
21,Sarajevo, Bosnia And Herzegovina,123,53.4,54.1,58.4,38.6,11.8,28.3,67.5,78.2
22,Saint Petersburg, Russia,102.2,46,60.3,59.8,44.8,20.3,48.2,62.3,60.6
23,Rotterdam, Netherlands,193.5,110.6,67.1,78.7,67.2,5.6,25.8,29.7,87.9
24,Rome, Italy,112.9,55.4,47,60,66.1,16.2,41.8,66.3,93.7
25,Rijeka, Croatia,165.5,50.8,74.8,64.6,45.9,11.9,18.9,35.6,94.9
26,Riga, Latvia,146.5,54.3,61.5,61,54.9,8.9,31.3,37.8,74.7
27,Reykjavik, Iceland,189.4,92.6,76.2,67.8,85.8,7.4,20.5,14.3,68.8
